1308569,3384318,3132898,1597539,3905094,3156364
5350214,10486140,9784664,5500103,10762870,10055760
3698755,9342098,5566870,3877490,9666668,5885332
3877490,9666668,5885332,4047305,9972044,6186232
5500103,661594,390366,5672532,969564,697824
5672532,969564,697824,5860111,1331250,1052096
1175191,2202138,2985490,1229992,2304094,3087062
4234320,7555640,7550726,4314818,7705144,7698190
860128,2304094,1963906,902480,2378400,2037628
2462589,5326464,4443844,2610453,5600904,4707268
4812032,8655380,8495620,5172503,9342098,9134126
620918,2378400,2037628,860128,2809346,2472340
4556491,8410008,8263090,4683465,8655380,8495620
4047305,8329766,1841220,4090643,8410008,1917508
5929410,619272,10055760,5951529,661594,10094738
1710994,4033018,3360614,1977842,4402634,3850330
2163710,4759622,3883622,2462589,5326464,4443844
1252878,6156128,6186232,1279534,6211768,6236156
902480,2809346,2472340,1175191,3335254,2985490
316162,1612838,1311474,394138,1767512,1463020
1672929,8152790,3291188,1710994,8222924,3360614
2615930,5600904,4707268,2630842,5628330,4734862
2925570,6211768,6236156,3095482,6542750,6564694
27,400432,335278,29626,456908,390366
4551538,56,8154054,4556491,9292,8163372
2630842,5628330,5041040,2640753,5645922,5058318
3676570,7495844,7491722,3698755,7537986,7532856
4225088,7537986,7532856,4234320,7555640,7550726
1597539,3905094,3156364,1608774,3926308,3177118
5996402,10762870,10298864,_,10785460,_
1608774,384798,3177118,1617097,400432,3192238
5951529,10916582,10214910,5996402,_,10298864
3307191,6905624,6920620,3320397,6930206,6944468
4314818,7705144,7698190,4551538,8152790,8154054
394138,1767512,1463020,594345,2152622,1841220
2640753,5645922,5058318,2773814,5897272,5311216
4090643,5907362,5320704,4225088,6156128,5566870
4793966,10119134,9426894,4812032,10152690,9459670
5172503,10152690,9459670,5350214,10486140,9784664
3473265,7146780,7153812,3676570,7495844,7491722
3320397,6930206,6944468,3473265,7146780,7153812
3095482,6542750,6564694,3307191,6905624,6920620
1997326,4438836,4734862,2138349,4712982,4997232
119844,9292,48,316162,384798,335278
4717722,9972044,9292528,4793966,10119134,9426894
2791369,1363934,1082638,2875145,1514590,1222256
2875145,1514590,1222256,2925570,1612838,1311474
1279534,3335254,3087062,1308569,3384318,3132898
594345,2152622,1917508,620918,2202138,1963906
1234021,8230526,8230048,1252878,8266574,8263090
2773814,1331250,1052096,2791369,1363934,1082638
5860111,10785460,10094738,5876538,10817732,10123592
5876538,10817732,10123592,5885660,10835428,10139734
5885660,10835428,10139734,5906111,10873934,10174918
5906111,10873934,10174918,5920913,10901046,10200692
5920913,10901046,10200692,5929410,10916582,10214910
1229992,8222924,8222802,1234021,8230526,8230048
1617097,3926308,3192238,1672929,4033018,3291188
1977842,4402634,3850330,1997326,4438836,3883622
4683465,8266574,8163372,4704237,8305412,8199744
4704237,8305412,8199744,4717722,8329766,8222802
2138349,4712982,4997232,2158072,4749322,5031480
2158072,4749322,5031480,2160788,4754390,5036210
2160788,4754390,5036210,2163710,4759622,5041040
2610453,5897272,5311216,2615930,5907362,5320704
29626,456908,9134126,119844,619272,9292528
