39,1,25,25,25
39,2,23,23,23
39,3,17,17,17
39,4,25,25,25
39,5,48,48,48
39,6,34,34,34
39,7,29,29,29
39,8,34,34,34
39,9,38,38,38
39,10,42,42,42
39,11,30,30,30
39,12,50,50,50
39,13,58,58,58
39,14,36,36,36
39,15,39,39,39
39,16,28,28,28
39,17,27,27,27
39,18,35,35,35
39,19,30,30,30
39,20,34,34,34
39,21,46,46,46
39,22,38,46,46
39,23,39,39,39
39,24,51,51,51
39,25,46,46,46
39,26,75,75,75
39,27,66,66,66
39,28,20,20,20
40,1,20,45,45
40,2,28,28,28
40,3,35,35,35
40,4,41,41,41
40,5,43,43,43
40,6,56,56,56
40,7,37,37,37
40,8,38,38,38
40,9,50,51,50
40,10,52,52,52
40,11,33,33,33
40,12,44,44,44
40,13,37,37,37
40,14,72,72,72
40,15,47,47,47
40,16,20,20,20
41,1,80,80,80
41,2,52,52,52
41,3,38,38,38
41,4,44,44,44
41,5,39,39,39
41,6,49,49,49
41,7,50,50,50
41,8,56,56,56
41,9,62,62,62
41,10,42,42,42
41,11,54,54,54
41,12,59,59,59
41,13,35,35,35
41,14,35,35,35
41,15,32,32,32
41,16,31,31,31
41,17,37,37,37
41,18,43,43,43
41,19,48,48,48
41,20,47,47,47
41,21,38,38,38
41,22,71,71,71
41,23,56,56,56
41,24,53,53,53
42,1,51,52,51
42,2,25,25,25
42,3,36,36,36
42,4,54,54,54
42,5,3,47,47
42,6,71,71,71
42,7,53,53,53
42,8,59,59,59
42,9,41,41,41
42,10,42,42,42
42,11,57,57,57
42,12,50,50,50
42,13,38,38,38
42,14,31,31,31
42,15,27,27,27
42,16,33,33,33
42,17,26,26,26
42,18,40,40,40
42,19,42,42,42
42,20,31,31,31
42,21,25,25,25
43,1,26,26,26
43,2,47,47,47
43,3,26,26,26
43,4,37,37,37
43,5,42,42,42
43,6,15,15,15
43,7,60,60,60
43,8,40,40,40
43,9,43,43,43
43,10,48,48,48
43,11,30,30,30
43,12,25,25,25
43,13,52,52,52
43,14,28,28,28
43,15,41,41,41
43,16,40,40,40
43,17,34,34,34
43,18,28,28,28
43,19,41,41,41
43,20,38,38,38
43,21,40,40,40
43,22,30,30,30
43,23,35,35,35
43,24,6,27,27
43,25,27,27,27
43,26,32,32,32
43,27,44,44,44
43,28,31,31,31
44,1,32,32,32
44,2,29,29,29
44,3,1,31,31
44,4,25,25,25
44,5,21,21,21
44,6,23,23,23
44,7,25,25,25
44,8,39,39,39
44,9,33,33,33
44,10,21,21,21
44,11,36,36,36
44,12,21,21,21
44,13,14,14,14
44,14,23,23,23
44,15,33,33,33
44,16,27,27,27
45,1,31,31,31
45,2,16,16,16
45,3,23,23,23
45,4,21,21,21
45,5,13,13,13
45,6,20,20,20
45,7,40,40,40
45,8,40,13,13
45,9,27,27,27
45,10,33,33,33
45,11,34,34,34
45,12,31,31,31
45,13,13,13,13
45,14,40,40,40
45,15,58,58,58
45,16,24,24,24
46,1,24,24,24
46,2,17,17,17
46,3,18,18,18
46,4,18,18,18
46,5,21,21,21
46,6,18,18,18
46,7,16,16,16
46,8,24,24,24
46,9,15,15,15
46,10,18,18,18
46,11,33,33,33
46,12,21,21,21
46,13,13,13,14
47,1,24,24,24
47,2,21,21,21
47,3,29,29,29
47,4,31,31,31
47,5,26,26,26
47,6,18,18,18
48,1,23,23,23
48,2,22,22,22
48,3,21,21,21
48,4,32,32,32
48,5,33,33,33
48,6,24,24,24
49,1,30,30,30
49,2,30,30,30
49,3,21,21,21
49,4,23,23,23
50,1,29,29,29
50,2,23,23,23
50,3,25,25,25
50,4,18,18,18
51,1,10,10,10
51,2,20,20,20
51,3,13,13,13
51,4,18,18,18
51,5,28,28,28
52,1,12,12,12
52,2,17,17,17
52,3,18,18,18
53,1,20,20,20
53,2,15,15,15
53,3,16,16,16
53,4,16,16,16
53,5,25,25,25
53,6,21,21,21
54,1,18,18,18
54,2,26,26,26
54,3,17,17,17
54,4,22,22,22
55,1,16,16,16
55,2,15,15,15
55,3,15,15,15
56,1,25,25,25
57,1,14,14,14
57,2,18,18,18
57,3,19,19,19
57,4,16,16,16
57,5,14,14,14
57,6,20,20,20
57,7,28,28,28
57,8,13,13,13
57,9,28,28,28
57,10,39,39,39
57,11,40,40,40
57,12,29,29,29
57,13,25,25,25
58,1,27,27,27
58,2,26,26,26
58,3,18,18,18
58,4,17,17,17
58,5,20,20,20
59,1,25,25,25
59,2,25,25,25
59,3,22,22,22
59,4,19,19,19
59,5,14,14,14
60,1,21,21,21
60,2,22,22,22
60,3,18,18,18
61,1,10,10,10
61,2,29,29,29
61,3,24,24,24
61,4,21,21,21
61,5,21,21,21
62,1,13,13,13
63,1,14,15,14
64,1,25,25,25
65,1,20,20,20
65,2,29,29,29
65,3,22,22,22
65,4,11,11,11
65,5,14,14,14
65,6,17,17,17
65,7,17,17,17
65,8,13,13,13
65,9,21,21,21
65,10,11,11,11
65,11,19,19,19
65,12,17,18,17
65,13,18,18,18
65,14,20,20,20
65,15,8,8,8
65,16,21,21,21
65,17,18,18,18
65,18,24,24,24
65,19,21,21,21
65,20,15,15,15
65,21,27,27,27
65,22,21,21,21
