0,1,31,31,31
0,2,25,25,25
0,3,24,24,24
0,4,26,26,26
0,5,32,32,32
0,6,22,22,22
0,7,24,24,24
0,8,22,22,22
0,9,29,29,29
0,10,32,32,32
0,11,32,32,32
0,12,20,20,20
0,13,18,18,18
0,14,24,24,24
0,15,21,21,21
0,16,21,16,16
0,17,27,27,27
0,18,33,33,33
0,19,38,38,38
0,20,18,18,18
0,21,34,34,34
0,22,24,24,24
0,23,20,20,20
0,24,67,67,67
0,25,34,34,34
0,26,35,35,35
0,27,46,46,46
0,28,22,22,22
0,29,35,35,35
0,30,43,43,43
0,31,54,55,55
0,32,33,32,32
0,33,20,20,20
0,34,31,31,31
0,35,29,29,29
0,36,43,43,43
0,37,36,36,36
0,38,30,30,30
0,39,23,23,23
0,40,23,23,23
0,41,57,57,57
0,42,38,38,38
0,43,34,34,34
0,44,34,34,34
0,45,28,28,28
0,46,34,34,34
0,47,31,31,31
0,48,22,22,22
0,49,33,33,33
0,50,26,26,26
1,1,27,27,27
1,2,32,32,32
1,3,39,39,39
1,4,12,12,12
1,5,25,25,25
1,6,23,23,23
1,7,29,29,29
1,8,18,18,18
1,9,13,13,13
1,10,19,19,19
1,11,27,27,27
1,12,31,31,31
1,13,39,39,39
1,14,33,33,33
1,15,37,37,37
1,16,23,23,23
1,17,29,29,29
1,18,32,33,33
1,19,44,43,43
1,20,26,26,26
1,21,22,22,22
1,22,51,51,51
1,23,39,39,39
1,24,25,25,25
2,1,53,53,53
2,2,46,46,46
2,3,28,28,28
2,4,20,34,34
2,5,32,18,18
2,6,38,38,38
2,7,51,51,51
2,8,66,66,66
2,9,28,28,28
2,10,29,29,29
2,11,43,43,43
2,12,33,33,33
2,13,34,34,34
2,14,31,31,31
2,15,34,34,34
2,16,34,34,34
2,17,24,24,24
2,18,46,46,46
2,19,21,21,21
2,20,43,43,43
2,21,29,29,29
2,22,54,54,53
3,1,18,18,18
3,2,25,25,25
3,3,27,27,27
3,4,44,44,44
3,5,27,27,27
3,6,33,33,33
3,7,20,20,20
3,8,29,29,29
3,9,37,37,37
3,10,36,36,36
3,11,20,21,21
3,12,22,21,21
3,13,25,25,25
3,14,29,29,29
3,15,38,38,38
3,16,20,20,20
3,17,41,41,41
3,18,37,37,37
3,19,37,37,37
3,20,21,21,21
3,21,26,26,26
3,22,20,20,20
3,23,37,37,37
3,24,20,20,20
3,25,30,30,30
4,1,54,54,54
4,2,55,55,55
4,3,24,24,24
4,4,43,43,43
4,5,41,26,26
4,6,66,81,81
4,7,40,40,40
4,8,40,40,40
4,9,44,44,44
4,10,14,14,14
4,11,47,47,47
4,12,40,40,40
4,13,14,14,14
4,14,17,17,17
4,15,29,29,29
4,16,43,43,43
4,17,27,27,27
4,18,17,17,17
4,19,20,19,19
4,20,30,8,8
4,21,30,30,30
4,22,19,19,19
4,23,32,32,32
4,24,31,31,31
4,25,31,31,31
4,26,32,32,32
4,27,33,34,34
4,28,21,21,21
4,29,30,30,30
5,1,18,17,17
5,2,17,18,18
5,3,17,17,17
5,4,22,22,22
5,5,14,14,14
5,6,42,42,42
5,7,22,22,22
5,8,18,18,18
5,9,31,31,31
5,10,19,19,19
5,11,23,23,23
5,12,16,16,16
5,13,23,22,22
5,14,14,15,15
5,15,19,19,19
5,16,14,14,14
5,17,19,19,19
5,18,34,34,34
5,19,11,11,11
5,20,37,37,37
5,21,20,20,20
5,22,12,12,12
5,23,21,21,21
5,24,27,27,27
5,25,28,28,28
5,26,23,23,23
5,27,9,9,9
5,28,27,27,27
5,29,36,36,36
5,30,27,27,27
5,31,21,21,21
5,32,33,33,33
5,33,25,25,25
5,34,33,33,33
5,35,27,27,27
5,36,22,23,23
6,1,11,11,11
6,2,70,70,70
6,3,13,13,13
6,4,24,24,24
6,5,17,17,17
6,6,22,22,22
6,7,28,28,28
6,8,28,36,36
6,9,15,15,15
6,10,44,44,44
7,1,11,11,11
